id,sentence,label
215,the metric m ( h ) used as the search heuristic is defined as : m ( h ) = accuracy ( h ) + c log 2 size ( h ) ( 4 ) where c is a constant used to control the relative weight of accuracy vs. complexity .,1
216,act-query content depart_time depart_city new york arrive_city san francisco depart_date 19991117 } figure 4 : an input frame to nlg the generation engine uses the appropriate language model for the utterance class and generates word sequences randomly according to the language model distributions .,0
217,2.1 word-document coccurrence matrix word coccurrences are directly represented in a matrix whose rows correspond to words and whose columns correspond to documents ( e.g .,0
218,"the corpus consists of a collection of 14 taskoriented dialogues , each performed by two native speakers of japanese .",0
219,"we can see that the redundant ratio obviously decreases by using the revisional distance , and the result that has the lowest redundant ratio corresponds of the minimum value of the objective function .",0
220,"godis consists of a number of modules , an information state , and a number of resources hooked up to the information state .",1
221,"we have the option to view ( i ) as a composite object with a first class object representing each of its variable bindings in its own right , as in ( iii ) which is the unreduced binding of the amount of money to the amount variable of the object we named cap-1 in ( i ) .",0
222,this sequence is then evaluated and ordered in the populat ion .,0
223,"in such cases , the synonymy relations that hold in the specific domain are only a restricted portion of the synonymy relations holding for a given language at large .",0
224,"concession approve ( fda , elixir-plus ) cause nucl~ s~lite ban ( fda , elixir ) contain ( elixir , gestodene ) figure 2 : rhetorical structure the text planner has been developed within iconoclast , a project which investigates applications of constraint-based reasoning in natural language generation using as subjectmatter the domain of medical information leaflets .",1
225,"the architecture of the argument generator is a typical pipelined architecture comprising a discourse planner , a microplanner and a sentence real izer .",1
226,conversation agent is a kind of intelligent agent a computer program that is able to communicate with humans as another human being .,1
227,"the reason for choosing it is that newspaper text is the most typical kind of reference corpus used by applied linguists , mainly because it is easy to get .",0
228,"maximum entropy is a technique for automatically acquiring knowledge from incomplete information , without making any unsubstantiated assumptions .",1
229,it shows that semantic tagging is a challengeable problem in mandarin chinese .,0
230,"potentially , we can have parallel corpora in a myriad of languages , yet the downside is the scarcity of linguistic knowledge resources and processing tools for less widely represented/studied languages .",0
231,"in many nlg systems , aggregation is a post planning process whose preferences are only partially taken into account by the text planner .",1
232,"( 8 ) amr = < concept > i ( < label > { < role > < amr > } + ) since the roles expected by nitrogen 's english generation grammar do not match well with the thematic roles and features of a clcs , we have extended the amr language with lcs-specific relations , calling the result , an lcs-amr .",1
233,"also , the skip ratio is 65 % , which is much higher than the skip ratio of 0 . 1 % if we did not use the classifier .",0
234,"dbest = argmax p ( d [ b ) d if we assume that the dependency probabilities are mutually independent , p ( dib ) could be rewritten as : rn-1 p ( dib ) = ~i p ( dep ( i ) =j ifit ) i=1 fit = { fl , . . . , fn } e r n . p ( dep ( i ) = j if0 ) represents the probability that bi depends on ( modifies ) b t . fit is an n dimensional feature vector that represents various kinds of linguistic features related with the chunks bi and b t . we obtain dbest taking into all the combination of these probabilities .",1
235,our discourse model is a knowledge store consisting of two major registers .,1
236,"for each question type , we uniformly use the same , identical set of features .",0
237,"for example , hofmann 's is of order o ( ] diiwi2 ) , while ours is only of o ( id i + ] wi2 ) , where idi denotes the number of texts and iw ] the number of words .",1
238,"there is a general rule that requires speakers to use this term in order to obtain an unmarked utterance in a given context : : . unless . this would result in an ' abnormal communication ' , in which case the speaker should deviate from neutral level , but only to the minimum degree required to ensure normality .",0
239,one of the attributes is the analytic function that expresses the syntactic function of the word .,1
240,opt means an option and or means a disjunction .,1
241,"we denote this as a binary relation causality ( frontclause ( 2 ) , baekclause ( 2 ) ) where frontclause ( n ) denotes the discourse segment that is encapsulated by the front discourse marker of the corresponding rhetorical relation whose sequence number is n . 15 backclause ( n ) can be defined similarly .",1
242,"a common machine-learning solution to classification problems is rule induction ( clark and niblett , 1989 ; quinlan , 1993 ; cohen , 1995 ) .",0
243,"however , in case k = 3 , the expansion probabilities depend on the states that are defined by the node label , the number of descendents the node and the sequence of labels in the descendents ( if any ) .",1
244,one of the important design decisions following these criteria is the encoding of thematic role information .,0
245,the other experimental variable is the number of chosen features .,0
246,iqj ] l is the number of symbols in the jt~ string of the corpus .,1
247,"then , the best model is the one which requires the minimum total description length .",0
248,"allis ( architecture for learning linguistic structures ) ( d~jean , 2000a ) is a symbolic machine learning system which generates categorisation rules from a tagged and bracketed corpus .",1
249,2.vp : a vp is a phrase headed by a predicate .,1
250,"our model does not use such intermediate topics , but accesses word cg-occurrence information directly aald represents a context as the accumulation of this information .",0
251,"for this dm input consists of grammatical structures , rather than sets of semantic objects .",0
252,the central module of the de is a compiler that maps a structure specified at one of tile five first of the above strata on a structure at the adjacent stratum .,0
253,"roughly 20 speaking , a coding module includes or describes everything that is needed in order to perform a certain kind of markup of spoken language corpora .",0
254,york to washington national which depart about ten a m on january twenty seventh .,0
255,") the columbia university system ( mckeown et al . , 1999 ) creates a multi-document summary using machine learning and statistical techniques to identify similar sections 41 and language generation to reformulate the summary .",0
256,"both nd and ne are elaboration of n ) , then the basic category is the default inheritance category for the mother .",0
